date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:03	149/149	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Sep%202025%2015:58:48%20GMT	https://lollipop-lagata.vercel.app/robots.txt		(from )
21:26:08	9429/9429	---MCZ	200	added ('OK')	text/html	etag:W/%2224d5-vMq1c2A+k2zpXLEzgISDhk4fC6Y%22	https://lollipop-lagata.vercel.app/	C:/My%20Web%20Sites/newCS/lollipop-lagata.vercel.app/index.html	(from )
21:26:14	113990/113990	---MCZ	200	added ('OK')	application/javascript	etag:W/%226888da2b-1bd46%22	https://telegram.org/js/telegram-web-app.js	C:/My%20Web%20Sites/newCS/telegram.org/js/telegram-web-app.js	(from https://lollipop-lagata.vercel.app/)
21:26:23	10129/10129	---MCZ	200	added ('OK')	text/html	etag:W/%222791-yUHebv9upZd9A77DQEbyqI/HQLk%22	https://lollipop-lagata.vercel.app/batch?id=29	C:/My%20Web%20Sites/newCS/lollipop-lagata.vercel.app/batch95dc.html	(from https://lollipop-lagata.vercel.app/)
21:26:32	9751/9751	---MCZ	200	added ('OK')	text/html	etag:W/%222617-rJVEDoQapaoNeD8dP2Kfseesi6Q%22	https://lollipop-lagata.vercel.app/batch?id=32	C:/My%20Web%20Sites/newCS/lollipop-lagata.vercel.app/batchdac1.html	(from https://lollipop-lagata.vercel.app/)
21:26:32	27890/27890	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%226cf2-0PQ6xcyx+pVvs5BUphwa7iTODnY%22	https://lollipop-lagata.vercel.app/res?url=https%3A%2F%2Fcds-journey-bucket.s3.amazonaws.com%2Fmedia%2Fbanner-image%2Fzulu_7bdQCsN.webp	C:/My%20Web%20Sites/newCS/lollipop-lagata.vercel.app/res150a	(from https://lollipop-lagata.vercel.app/)
21:26:34	32458/32458	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%227eca-EERvuGsXtk8jXCw4rcSl2GmZaAo%22	https://lollipop-lagata.vercel.app/res?url=https%3A%2F%2Fcds-journey-bucket.s3.amazonaws.com%2Fmedia%2Fbanner-image%2Fxray_WZzTn5o.webp	C:/My%20Web%20Sites/newCS/lollipop-lagata.vercel.app/res6262	(from https://lollipop-lagata.vercel.app/)
21:26:38	7010/7010	---MCZ	200	added ('OK')	text/html	etag:W/%221b62-gk1CUmxrNmKt2mfKqH9Kl82FX90%22	https://lollipop-lagata.vercel.app/batch?id=31	C:/My%20Web%20Sites/newCS/lollipop-lagata.vercel.app/batch6fb5.html	(from https://lollipop-lagata.vercel.app/)
21:26:39	32356/32356	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%227e64-HvM/adB9Hxafbxwq+XN0PDDbaMM%22	https://lollipop-lagata.vercel.app/res?url=https%3A%2F%2Fcds-journey-bucket.s3.amazonaws.com%2Fmedia%2Fbanner-image%2Fyankee_fmjjbui.webp	C:/My%20Web%20Sites/newCS/lollipop-lagata.vercel.app/rese92b	(from https://lollipop-lagata.vercel.app/)
21:26:40	4914/4914	---MCZ	200	added ('OK')	text/html	etag:W/%221332-bZZ/apLzNoqLm4tVLD7ykOAipVU%22	https://lollipop-lagata.vercel.app/batch?id=30	C:/My%20Web%20Sites/newCS/lollipop-lagata.vercel.app/batch8bcf.html	(from https://lollipop-lagata.vercel.app/)
